name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
487_G_1,Hydro,4.1,0,0.023861766,0,4.1,0,0,14130,9999,
489_G_1,Hydro,5.5,0,0.029044491,0,5.5,0,0,14130,9999,
50037_G_UNT1,Hydro,6.7,0,0.016074305,0,6.7,0,0,14130,9999,
50037_G_UNT2,Hydro,6.7,0,0.042043307,0,6.7,0,0,14130,9999,
50129_G_1641,Hydro,1.3,0,0.048764301,0,1.3,0,0,14130,9999,
50129_G_1642,Hydro,1.3,0,0.011214738,0,1.3,0,0,14130,9999,
50129_G_8332,Hydro,0.1,0,0.014416198,0,0.1,0,0,14130,9999,
50134_G_GTAG,Combustion Turbine,75,30,43.82588599,2,25.65,1914.184082,15.45,7340,9999,
50134_G_GTBG,Combustion Turbine,75,30,43.84517096,2,25.65,1914.184082,15.45,7340,9999,
50134_G_GTCG,Combustion Turbine,75,30,43.86601355,2,25.65,1914.184082,15.45,7340,9999,
50134_G_GTDG,Combustion Turbine,75,30,43.8690775,2,25.65,1914.184082,15.45,7340,9999,
50147_G_1,Hydro,1,0,0.03715667,0,1,0,0,14130,9999,
50156_G_GEN1,Hydro,3,0,0.011123535,0,3,0,0,14130,9999,
50179_G_GEN1,Hydro,2.5,0,0.04016939,0,2.5,0,0,14130,9999,
50179_G_GEN2,Hydro,2.5,0,0.031135418,0,2.5,0,0,14130,9999,
50180_G_GEN1,Hydro,4.8,0,0.016728273,0,4.8,0,0,14130,9999,
50218_G_U1,Hydro,2.7,0,0.010779961,0,2.7,0,0,14130,9999,
50219_G_U1,Hydro,4,0,0.002853046,0,4,0,0,14130,9999,
50223_G_1296,Hydro,0.5,0,0.025320717,0,0.5,0,0,14130,9999,
50233_G_4011,Hydro,1,0,0.007751182,0,1,0,0,14130,9999,
50322_G_GEN1,Hydro,2.1,0,0.032870378,0,2.1,0,0,14130,9999,
